Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,02;0,025;-0,016;-0,800000000000002;
0,002;-0,00999999999999979;0,075;-0,0158;-0,789999999999999;
0,004;-0,0150000000000001;0,125;-0,0156;-0,78;
0,006;-0,0150000000000001;0,175;-0,0164000000000001;-0,820000000000003;
0,008;-0,00999999999999979;0,225;-0,0146;-0,729999999999999;
0,01;-0,02;0,275;-0,0164;-0,820000000000002;
0,012;-0,02;0,325;-0,0154;-0,769999999999999;
0,014;-0,0249999999999999;0,375;-0,0158000000000001;-0,790000000000003;
0,016;-0,0150000000000001;0,425;-0,015;-0,749999999999999;
0,018;-0,0150000000000001;0,475;-0,022;-1,1;
0,02;-0,02;0,525;-0,0480000000000001;-2,4;
0,022;-0,00499999999999989;0,575;-0,122;-6,1;
0,024;-0,0150000000000001;0,625;-0,2508;-12,54;
0,026;-0,0150000000000001;0,675;-0,4158;-20,79;
0,028;-0,02;0,725;-0,581;-29,05;
0,03;-0,0150000000000001;0,775;-0,7184;-35,92;
0,032;-0,0150000000000001;0,825;-0,8208;-41,04;
0,034;-0,02;0,875;-0,9012;-45,06;
0,036;-0,0150000000000001;0,925;-0,9722;-48,61;
0,038;-0,02;0,975;-1,0404;-52,02;
0,04;-0,0150000000000001;1,025;-1,0898;-54,49;
0,042;-0,0150000000000001;1,075;-1,1114;-55,57;
0,044;-0,0150000000000001;1,125;-1,1144;-55,72;
0,046;-0,00999999999999979;1,175;-1,1232;-56,16;
0,048;-0,02;1,225;-1,1434;-57,17;
0,05;-0,0150000000000001;1,275;-1,166;-58,3;
0,052;-0,0249999999999999;1,325;-1,1716;-58,58;
0,054;-0,02;1,375;-1,173;-58,65;
0,056;-0,00999999999999979;1,425;-1,1722;-58,61;
0,058;-0,0150000000000001;1,475;-1,178;-58,9;
0,06;-0,00999999999999979;1,525;-1,1896;-59,48;
0,062;-0,0150000000000001;1,575;-1,196;-59,8;
0,064;-0,00999999999999979;1,625;-1,1988;-59,94;
0,066;-0,02;1,675;-1,2026;-60,13;
0,068;-0,0150000000000001;1,725;-1,2102;-60,51;
0,07;-0,0150000000000001;1,775;-1,2176;-60,88;
0,072;-0,0249999999999999;1,825;-1,2218;-61,09;
0,074;-0,02;1,875;-1,2256;-61,28;
0,076;-0,02;1,925;-1,227;-61,35;
0,078;-0,0150000000000001;1,975;-1,2282;-61,41;
0,08;-0,00999999999999979;2,025;-1,2288;-61,44;
0,082;-0,00999999999999979;2,075;-1,2302;-61,51;
0,084;-0,00999999999999979;2,125;-1,2292;-61,46;
0,086;-0,02;2,175;-1,2298;-61,49;
0,088;-0,0150000000000001;2,225;-1,2294;-61,47;
0,09;-0,02;2,275;-1,2126;-60,63;
0,092;-0,02;2,325;-1,1648;-58,24;
0,094;-0,0150000000000001;2,375;-1,098;-54,9;
0,096;-0,0150000000000001;2,425;-1,0134;-50,67;
0,098;-0,00999999999999979;2,475;-0,9168;-45,84;
0,1;-0,02;2,525;-0,8128;-40,64;
0,102;-0,00999999999999979;2,575;-0,7064;-35,32;
