Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,0249999999999999;0,025;-0,018;-0,9;
0,002;-0,0249999999999999;0,075;-0,0166;-0,83;
0,004;-0,0150000000000001;0,125;-0,0186;-0,930000000000001;
0,006;-0,02;0,175;-0,0164;-0,819999999999999;
0,008;-0,0150000000000001;0,225;-0,0172;-0,860000000000001;
0,01;-0,0150000000000001;0,275;-0,0168;-0,84;
0,012;-0,0150000000000001;0,325;-0,0186;-0,93;
0,014;-0,02;0,375;-0,0436000000000001;-2,18;
0,016;-0,02;0,425;-0,111;-5,55000000000001;
0,018;-0,0150000000000001;0,475;-0,2154;-10,77;
0,02;-0,0249999999999999;0,525;-0,3426;-17,13;
0,022;-0,02;0,575;-0,467;-23,35;
0,024;-0,02;0,625;-0,5892;-29,46;
0,026;-0,02;0,675;-0,6972;-34,86;
0,028;-0,00999999999999979;0,725;-0,7904;-39,52;
0,03;-0,00999999999999979;0,775;-0,8678;-43,39;
0,032;-0,00999999999999979;0,825;-0,9342;-46,71;
0,034;-0,02;0,875;-0,9946;-49,73;
0,036;-0,0150000000000001;0,925;-1,0542;-52,71;
0,038;-0,02;0,975;-1,1092;-55,46;
0,04;-0,0249999999999999;1,025;-1,1574;-57,87;
0,042;-0,0150000000000001;1,075;-1,1892;-59,46;
0,044;-0,02;1,125;-1,2046;-60,23;
0,046;-0,0150000000000001;1,175;-1,2066;-60,33;
0,048;-0,02;1,225;-1,2086;-60,43;
0,05;-0,00999999999999979;1,275;-1,2124;-60,62;
0,052;-0,0150000000000001;1,325;-1,224;-61,2;
0,054;-0,02;1,375;-1,2342;-61,71;
0,056;-0,0150000000000001;1,425;-1,242;-62,1;
0,058;-0,02;1,475;-1,2434;-62,17;
0,06;-0,02;1,525;-1,2406;-62,03;
0,062;-0,0249999999999999;1,575;-1,2324;-61,62;
0,064;-0,0150000000000001;1,625;-1,2292;-61,46;
0,066;-0,00999999999999979;1,675;-1,2282;-61,41;
0,068;-0,02;1,725;-1,234;-61,7;
0,07;-0,00999999999999979;1,775;-1,2358;-61,79;
0,072;-0,0150000000000001;1,825;-1,2358;-61,79;
0,074;-0,0150000000000001;1,875;-1,2158;-60,79;
0,076;-0,02;1,925;-1,1694;-58,47;
0,078;-0,0150000000000001;1,975;-1,1006;-55,03;
0,08;-0,02;2,025;-1,0148;-50,74;
0,082;-0,0249999999999999;2,075;-0,9112;-45,56;
0,084;-0,0150000000000001;2,125;-0,8;-40;
0,086;-0,02;2,175;-0,6798;-33,99;
0,088;-0,02;2,225;-0,5562;-27,81;
0,09;-0,00499999999999989;2,275;-0,433;-21,65;
0,092;-0,0150000000000001;2,325;-0,315;-15,75;
0,094;-0,00999999999999979;2,375;-0,2;-10;
0,096;-0,0249999999999999;2,425;-0,0942000000000001;-4,71;
0,098;-0,0150000000000001;2,475;0,0026;0,13;
0,1;-0,0300000000000002;2,525;0,0862000000000001;4,31;
0,102;-0,0249999999999999;2,575;0,162;8,10000000000001;
0,104;-0,0150000000000001;2,625;0,2228;11,14;
0,106;-0,02;2,675;0,2738;13,69;
0,108;-0,0150000000000001;2,725;0,311;15,55;
0,11;-0,0150000000000001;2,775;0,3402;17,01;
0,112;-0,0150000000000001;2,825;0,3552;17,76;
0,114;-0,02;2,875;0,363;18,15;
0,116;-0,02;2,925;0,3622;18,11;
0,118;-0,0150000000000001;2,975;0,3544;17,72;
0,12;-0,0300000000000002;3,025;0,3354;16,77;
0,122;-0,02;3,075;0,3126;15,63;
0,124;-0,0249999999999999;3,125;0,2836;14,18;
0,126;-0,0150000000000001;3,175;0,2534;12,67;
0,128;-0,0150000000000001;3,225;0,2182;10,91;
0,13;-0,00999999999999979;3,275;0,1826;9,13000000000001;
0,132;-0,00999999999999979;3,325;0,1442;7,21000000000001;
0,134;-0,02;3,375;0,1084;5,42000000000001;
0,136;-0,02;3,425;0,0718000000000001;3,59;
0,138;-0,00999999999999979;3,475;0,0398000000000001;1,99;
0,14;-0,0249999999999999;3,525;0,00759999999999998;0,379999999999999;
0,142;-0,02;3,575;-0,0198;-0,990000000000001;
0,144;-0,0249999999999999;3,625;-0,0456;-2,28;
0,146;-0,0150000000000001;3,675;-0,0662000000000001;-3,31000000000001;
0,148;-0,0150000000000001;3,725;-0,0846;-4,23;
0,15;-0,00999999999999979;3,775;-0,0970000000000001;-4,85;
0,152;-0,00999999999999979;3,825;-0,1082;-5,41000000000001;
0,154;-0,02;3,875;-0,1154;-5,77000000000001;
0,156;-0,0150000000000001;3,925;-0,1208;-6,04;
0,158;-0,0249999999999999;3,975;-0,1218;-6,09;
0,16;-0,0249999999999999;4,025;-0,1218;-6,09;
0,162;-0,02;4,075;-0,1208;-6,04;
0,164;-0,02;4,125;-0,1154;-5,77000000000001;
0,166;-0,0150000000000001;4,175;-0,1074;-5,37000000000001;
0,168;-0,02;4,225;-0,1008;-5,04;
0,17;-0,00999999999999979;4,275;-0,0918;-4,59;
0,172;-0,00499999999999989;4,325;-0,0846;-4,23;
0,174;-0,0150000000000001;4,375;-0,0734000000000002;-3,67000000000001;
0,176;-0,0150000000000001;4,425;-0,0640000000000001;-3,20000000000001;
0,178;-0,02;4,475;-0,0542;-2,71;
0,18;-0,02;4,525;-0,0446;-2,23;
0,182;-0,0249999999999999;4,575;-0,0348000000000001;-1,74000000000001;
0,184;-0,02;4,625;-0,0274000000000001;-1,37;
0,186;-0,0150000000000001;4,675;-0,019;-0,950000000000001;
0,188;-0,0150000000000001;4,725;-0,0128;-0,64;
0,19;-0,00999999999999979;4,775;-0,0065999999999999;-0,329999999999995;
0,192;-0,0150000000000001;4,825;-0,00219999999999997;-0,109999999999999;
0,194;-0,0150000000000001;4,875;0,00219999999999995;0,109999999999998;
0,196;-0,00999999999999979;4,925;0,00459999999999992;0,229999999999996;
0,198;-0,02;4,975;0,00719999999999992;0,359999999999996;
0,2;-0,02;5,025;0,00779999999999987;0,389999999999993;
0,202;-0,0249999999999999;5,075;0,0079999999999999;0,399999999999995;
0,204;-0,02;5,125;0,00779999999999989;0,389999999999994;
0,206;-0,02;5,175;0,0081999999999999;0,409999999999995;
0,208;-0,02;5,225;0,00779999999999992;0,389999999999996;
0,21;-0,00499999999999989;5,275;0,00759999999999991;0,379999999999995;
0,212;-0,0150000000000001;5,325;0,00599999999999991;0,299999999999995;
0,214;-0,0150000000000001;5,375;0,00379999999999994;0,189999999999997;
0,216;-0,02;5,425;0,00179999999999998;0,089999999999999;
0,218;-0,0150000000000001;5,475;-0,000399999999999991;-0,0199999999999996;
0,22;-0,02;5,525;-0,00359999999999992;-0,179999999999996;
0,222;-0,0249999999999999;5,575;-0,00499999999999995;-0,249999999999997;
0,224;-0,0150000000000001;5,625;-0,00839999999999989;-0,419999999999995;
0,226;-0,02;5,675;-0,00979999999999991;-0,489999999999996;
0,228;-0,0150000000000001;5,725;-0,012;-0,599999999999999;
0,23;-0,00499999999999989;5,775;-0,0146;-0,73;
0,232;-0,0150000000000001;5,825;-0,0154;-0,769999999999999;
0,234;-0,00999999999999979;5,875;-0,017;-0,85;
0,236;-0,02;5,925;-0,0182000000000001;-0,910000000000003;
0,238;-0,0150000000000001;5,975;-0,019;-0,95;
0,24;-0,0249999999999999;6,025;-0,0202;-1,01;
0,242;-0,02;6,075;-0,02;-0,999999999999998;
0,244;-0,0150000000000001;6,125;-0,0204;-1,02;
0,246;-0,02;6,175;-0,0214;-1,07;
0,248;-0,0150000000000001;6,225;-0,0208;-1,04;
0,25;-0,0150000000000001;6,275;-0,0206000000000001;-1,03;
0,252;-0,0150000000000001;6,325;-0,021;-1,05;
0,254;-0,00999999999999979;6,375;-0,0214;-1,07;
0,256;-0,02;6,425;-0,0214;-1,07;
0,258;-0,0150000000000001;6,475;-0,0208;-1,04;
0,26;-0,0249999999999999;6,525;-0,0214;-1,07;
0,262;-0,02;6,575;-0,0208;-1,04;
0,264;-0,02;6,625;-0,0218;-1,09;
0,266;-0,02;6,675;-0,0204;-1,02;
0,268;-0,0150000000000001;6,725;-0,0216;-1,08;
0,27;-0,0150000000000001;6,775;-0,0194;-0,97;
0,272;-0,00999999999999979;6,825;-0,019;-0,949999999999999;
0,274;-0,02;6,875;-0,0200000000000001;-1;
0,276;-0,0150000000000001;6,925;-0,0198;-0,99;
0,278;-0,00999999999999979;6,975;-0,0182;-0,91;
0,28;-0,0249999999999999;7,025;-0,0182;-0,909999999999999;
0,282;-0,02;7,075;-0,0186000000000001;-0,930000000000004;
0,284;-0,02;7,125;-0,0188;-0,94;
0,286;-0,0150000000000001;7,175;-0,0182;-0,910000000000002;
0,288;-0,02;7,225;-0,0178;-0,890000000000002;
0,29;-0,00999999999999979;7,275;-0,0182;-0,909999999999999;
0,292;-0,00999999999999979;7,325;-0,0182;-0,910000000000001;
0,294;-0,02;7,375;-0,0186;-0,930000000000001;
0,296;-0,0150000000000001;7,425;-0,0186;-0,930000000000002;
0,298;-0,02;7,475;-0,0186;-0,929999999999999;
0,3;-0,0249999999999999;7,525;-0,0186;-0,93;
0,302;-0,0150000000000001;7,575;-0,0184000000000001;-0,920000000000003;
0,304;-0,02;7,625;-0,018;-0,899999999999999;
0,306;-0,0150000000000001;7,675;-0,0186000000000001;-0,930000000000003;
0,308;-0,02;7,725;-0,0184;-0,920000000000001;
0,31;-0,00999999999999979;7,775;-0,019;-0,950000000000001;
0,312;-0,00499999999999989;7,825;-0,0174;-0,870000000000001;
0,314;-0,0150000000000001;7,875;-0,018;-0,899999999999999;
0,316;-0,0150000000000001;7,925;-0,0186000000000001;-0,930000000000003;
0,318;-0,02;7,975;-0,0182;-0,91;
0,32;-0,02;8,025;-0,0188;-0,940000000000001;
0,322;-0,0249999999999999;8,075;-0,0184;-0,92;
0,324;-0,02;8,125;-0,0184;-0,920000000000001;
0,326;-0,00999999999999979;8,175;-0,0188;-0,940000000000002;
0,328;-0,02;8,225;-0,018;-0,899999999999999;
0,33;-0,00999999999999979;8,275;-0,0184;-0,920000000000002;
0,332;-0,0150000000000001;8,325;-0,0182;-0,910000000000001;
0,334;-0,02;8,375;-0,019;-0,950000000000002;
0,336;-0,0150000000000001;8,425;-0,018;-0,900000000000002;
0,338;-0,0249999999999999;8,475;-0,0188;-0,94;
0,34;-0,0249999999999999;8,525;-0,0186000000000001;-0,930000000000004;
0,342;-0,0300000000000002;8,575;-0,0192;-0,959999999999998;
0,344;-0,02;8,625;-0,0186;-0,930000000000001;
0,346;-0,0249999999999999;8,675;-0,0188;-0,94;
0,348;-0,0249999999999999;8,725;-0,0184;-0,920000000000001;
0,35;-0,0150000000000001;8,775;-0,0184000000000001;-0,920000000000003;
0,352;-0,0249999999999999;8,825;-0,0184;-0,920000000000001;
0,354;-0,0249999999999999;8,875;-0,0188000000000001;-0,940000000000003;
0,356;-0,0350000000000001;8,925;-0,018;-0,899999999999999;
0,358;-0,0300000000000002;8,975;-0,0186;-0,930000000000001;
0,36;-0,0350000000000001;9,025;-0,0176;-0,88;
0,362;-0,0350000000000001;9,075;-0,0192;-0,960000000000001;
0,364;-0,0350000000000001;9,125;-0,0184000000000001;-0,920000000000003;
0,366;-0,0350000000000001;9,175;-0,0178;-0,89;
0,368;-0,0350000000000001;9,225;-0,0178000000000001;-0,890000000000003;
0,37;-0,04;9,275;-0,0184;-0,92;
0,372;-0,0350000000000001;;;;
0,374;-0,0350000000000001;;;;
0,376;-0,0449999999999999;;;;
0,378;-0,0449999999999999;;;;
0,38;-0,0600000000000001;;;;
0,382;-0,0550000000000002;;;;
0,384;-0,0499999999999998;;;;
0,386;-0,0550000000000002;;;;
0,388;-0,0550000000000002;;;;
0,39;-0,0550000000000002;;;;
0,392;-0,0550000000000002;;;;
0,394;-0,0649999999999999;;;;
0,396;-0,0700000000000003;;;;
0,398;-0,0649999999999999;;;;
0,4;-0,0800000000000001;;;;
0,402;-0,0750000000000002;;;;
0,404;-0,085;;;;
0,406;-0,0800000000000001;;;;
0,408;-0,0800000000000001;;;;
0,41;-0,0800000000000001;;;;
0,412;-0,0800000000000001;;;;
0,414;-0,0950000000000002;;;;
0,416;-0,0950000000000002;;;;
0,418;-0,1;;;;
0,42;-0,11;;;;
0,422;-0,105;;;;
0,424;-0,115;;;;
0,426;-0,11;;;;
0,428;-0,12;;;;
0,43;-0,115;;;;
0,432;-0,11;;;;
0,434;-0,125;;;;
0,436;-0,13;;;;
0,438;-0,14;;;;
0,44;-0,145;;;;
0,442;-0,15;;;;
0,444;-0,15;;;;
0,446;-0,145;;;;
0,448;-0,155;;;;
0,45;-0,15;;;;
0,452;-0,165;;;;
0,454;-0,165;;;;
0,456;-0,17;;;;
0,458;-0,18;;;;
0,46;-0,185;;;;
0,462;-0,195;;;;
0,464;-0,195;;;;
0,466;-0,2;;;;
0,468;-0,2;;;;
0,47;-0,195;;;;
0,472;-0,21;;;;
0,474;-0,21;;;;
0,476;-0,225;;;;
0,478;-0,225;;;;
0,48;-0,23;;;;
0,482;-0,245;;;;
0,484;-0,24;;;;
0,486;-0,245;;;;
0,488;-0,245;;;;
0,49;-0,25;;;;
0,492;-0,255;;;;
0,494;-0,26;;;;
0,496;-0,27;;;;
0,498;-0,275;;;;
0,5;-0,29;;;;
0,502;-0,29;;;;
0,504;-0,29;;;;
0,506;-0,295;;;;
0,508;-0,3;;;;
0,51;-0,305;;;;
0,512;-0,305;;;;
0,514;-0,31;;;;
0,516;-0,325;;;;
0,518;-0,32;;;;
0,52;-0,34;;;;
0,522;-0,34;;;;
0,524;-0,345;;;;
0,526;-0,345;;;;
0,528;-0,35;;;;
0,53;-0,355;;;;
0,532;-0,355;;;;
0,534;-0,37;;;;
0,536;-0,375;;;;
0,538;-0,375;;;;
0,54;-0,395;;;;
0,542;-0,39;;;;
0,544;-0,4;;;;
0,546;-0,395;;;;
0,548;-0,405;;;;
0,55;-0,405;;;;
0,552;-0,405;;;;
0,554;-0,42;;;;
0,556;-0,42;;;;
0,558;-0,43;;;;
0,56;-0,44;;;;
0,562;-0,44;;;;
0,564;-0,445;;;;
0,566;-0,45;;;;
0,568;-0,455;;;;
0,57;-0,45;;;;
0,572;-0,45;;;;
0,574;-0,47;;;;
0,576;-0,47;;;;
0,578;-0,48;;;;
0,58;-0,49;;;;
0,582;-0,495;;;;
0,584;-0,495;;;;
0,586;-0,495;;;;
0,588;-0,505;;;;
0,59;-0,495;;;;
0,592;-0,51;;;;
0,594;-0,515;;;;
0,596;-0,515;;;;
0,598;-0,53;;;;
0,6;-0,535;;;;
0,602;-0,545;;;;
0,604;-0,54;;;;
0,606;-0,55;;;;
0,608;-0,555;;;;
0,61;-0,545;;;;
0,612;-0,56;;;;
0,614;-0,565;;;;
0,616;-0,575;;;;
0,618;-0,575;;;;
0,62;-0,58;;;;
0,622;-0,59;;;;
0,624;-0,59;;;;
0,626;-0,595;;;;
0,628;-0,595;;;;
0,63;-0,6;;;;
0,632;-0,605;;;;
0,634;-0,61;;;;
0,636;-0,62;;;;
0,638;-0,62;;;;
0,64;-0,635;;;;
0,642;-0,635;;;;
0,644;-0,63;;;;
0,646;-0,64;;;;
0,648;-0,64;;;;
0,65;-0,645;;;;
0,652;-0,645;;;;
0,654;-0,655;;;;
0,656;-0,66;;;;
0,658;-0,66;;;;
0,66;-0,68;;;;
0,662;-0,675;;;;
0,664;-0,68;;;;
0,666;-0,685;;;;
0,668;-0,68;;;;
0,67;-0,685;;;;
0,672;-0,685;;;;
0,674;-0,7;;;;
0,676;-0,705;;;;
0,678;-0,71;;;;
0,68;-0,72;;;;
