Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,0150000000000001;0,025;-0,0176;-0,88;
0,002;-0,02;0,075;-0,0172;-0,86;
0,004;-0,00999999999999979;0,125;-0,0168;-0,840000000000002;
0,006;-0,00999999999999979;0,175;-0,0176;-0,88;
0,008;-0,02;0,225;-0,0162;-0,810000000000001;
0,01;-0,0150000000000001;0,275;-0,018;-0,9;
0,012;-0,02;0,325;-0,0166;-0,830000000000002;
0,014;-0,0249999999999999;0,375;-0,0178;-0,890000000000001;
0,016;-0,0249999999999999;0,425;-0,0158;-0,790000000000002;
0,018;-0,02;0,475;-0,0176;-0,879999999999999;
0,02;-0,0150000000000001;0,525;-0,0166000000000001;-0,830000000000003;
0,022;-0,02;0,575;-0,0176;-0,880000000000001;
0,024;-0,00999999999999979;0,625;-0,0164;-0,82;
0,026;-0,02;0,675;-0,018;-0,899999999999999;
0,028;-0,0150000000000001;0,725;-0,017;-0,850000000000002;
0,03;-0,0249999999999999;0,775;-0,0298000000000001;-1,49;
0,032;-0,02;0,825;-0,0728;-3,64;
0,034;-0,02;0,875;-0,1482;-7,41;
0,036;-0,0249999999999999;0,925;-0,2516;-12,58;
0,038;-0,0150000000000001;0,975;-0,379;-18,95;
0,04;-0,02;1,025;-0,5162;-25,81;
0,042;-0,0150000000000001;1,075;-0,648;-32,4;
0,044;-0,00999999999999979;1,125;-0,7586;-37,93;
0,046;-0,0150000000000001;1,175;-0,845;-42,25;
0,048;-0,0150000000000001;1,225;-0,9076;-45,38;
0,05;-0,02;1,275;-0,9508;-47,54;
0,052;-0,0150000000000001;1,325;-0,989;-49,45;
0,054;-0,0300000000000002;1,375;-1,0276;-51,38;
0,056;-0,02;1,425;-1,0548;-52,74;
0,058;-0,00999999999999979;1,475;-1,0708;-53,54;
0,06;-0,02;1,525;-1,0802;-54,01;
0,062;-0,00999999999999979;1,575;-1,0972;-54,86;
0,064;-0,0150000000000001;1,625;-1,1202;-56,01;
0,066;-0,0150000000000001;1,675;-1,1436;-57,18;
0,068;-0,02;1,725;-1,16;-58;
0,07;-0,0150000000000001;1,775;-1,1772;-58,86;
0,072;-0,00999999999999979;1,825;-1,188;-59,4;
0,074;-0,0249999999999999;1,875;-1,1948;-59,74;
0,076;-0,0150000000000001;1,925;-1,1948;-59,74;
0,078;-0,02;1,975;-1,197;-59,85;
0,08;-0,0150000000000001;2,025;-1,199;-59,95;
0,082;-0,02;2,075;-1,206;-60,3;
0,084;-0,00999999999999979;2,125;-1,222;-61,1;
0,086;-0,00999999999999979;2,175;-1,2378;-61,89;
0,088;-0,0150000000000001;2,225;-1,2386;-61,93;
0,09;-0,0150000000000001;2,275;-1,2368;-61,84;
0,092;-0,02;2,325;-1,235;-61,75;
0,094;-0,02;2,375;-1,2372;-61,86;
0,096;-0,0249999999999999;2,425;-1,235;-61,75;
0,098;-0,02;2,475;-1,2366;-61,83;
0,1;-0,0150000000000001;2,525;-1,2356;-61,78;
0,102;-0,02;2,575;-1,237;-61,85;
0,104;-0,00999999999999979;2,625;-1,2354;-61,77;
0,106;-0,02;2,675;-1,2366;-61,83;
0,108;-0,0150000000000001;2,725;-1,2352;-61,76;
0,11;-0,00999999999999979;2,775;-1,2362;-61,81;
0,112;-0,02;2,825;-1,2352;-61,76;
0,114;-0,02;2,875;-1,2368;-61,84;
0,116;-0,0249999999999999;2,925;-1,2354;-61,77;
0,118;-0,0150000000000001;2,975;-1,235;-61,75;
0,12;-0,02;3,025;-1,2298;-61,49;
0,122;-0,0150000000000001;3,075;-1,2052;-60,26;
0,124;-0,00499999999999989;3,125;-1,1488;-57,44;
0,126;-0,0150000000000001;3,175;-1,0692;-53,46;
0,128;-0,0150000000000001;3,225;-0,962;-48,1;
0,13;-0,02;3,275;-0,8364;-41,82;
0,132;-0,02;3,325;-0,6912;-34,56;
0,134;-0,0300000000000002;3,375;-0,5366;-26,83;
0,136;-0,02;3,425;-0,3728;-18,64;
0,138;-0,0150000000000001;3,475;-0,2086;-10,43;
0,14;-0,02;3,525;-0,0442;-2,21;
0,142;-0,0150000000000001;3,575;0,1138;5,69;
0,144;-0,0150000000000001;3,625;0,2646;13,23;
0,146;-0,0150000000000001;3,675;0,4014;20,07;
0,148;-0,00999999999999979;3,725;0,5244;26,22;
0,15;-0,02;3,775;0,6294;31,47;
0,152;-0,0150000000000001;3,825;0,718;35,9;
0,154;-0,0249999999999999;3,875;0,7844;39,22;
0,156;-0,02;3,925;0,8326;41,63;
0,158;-0,02;3,975;0,8562;42,81;
0,16;-0,02;4,025;0,864;43,2;
0,162;-0,00999999999999979;4,075;0,8496;42,48;
0,164;-0,0150000000000001;4,125;0,8136;40,68;
