Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,02;0,025;-0,0176;-0,880000000000001;
0,002;-0,0150000000000001;0,075;-0,017;-0,850000000000002;
0,004;-0,02;0,125;-0,0174;-0,869999999999999;
0,006;-0,0249999999999999;0,175;-0,0172;-0,860000000000001;
0,008;-0,0150000000000001;0,225;-0,017;-0,85;
0,01;-0,02;0,275;-0,017;-0,85;
0,012;-0,0150000000000001;0,325;-0,018;-0,900000000000002;
0,014;-0,02;0,375;-0,017;-0,85;
0,016;-0,00999999999999979;0,425;-0,0172;-0,860000000000001;
0,018;-0,00499999999999989;0,475;-0,0168;-0,84;
0,02;-0,02;0,525;-0,0178;-0,890000000000001;
0,022;-0,0150000000000001;0,575;-0,0162;-0,810000000000001;
0,024;-0,02;0,625;-0,0178;-0,890000000000001;
0,026;-0,02;0,675;-0,0168;-0,840000000000002;
0,028;-0,0249999999999999;0,725;-0,018;-0,9;
0,03;-0,02;0,775;-0,0166;-0,830000000000001;
0,032;-0,0150000000000001;0,825;-0,0178;-0,889999999999999;
0,034;-0,02;0,875;-0,0168;-0,840000000000002;
0,036;-0,00999999999999979;0,925;-0,0176;-0,880000000000001;
0,038;-0,0150000000000001;0,975;-0,0168;-0,84;
0,04;-0,0150000000000001;1,025;-0,0172;-0,860000000000001;
0,042;-0,02;1,075;-0,0164;-0,819999999999999;
0,044;-0,0150000000000001;1,125;-0,0172;-0,860000000000001;
0,046;-0,02;1,175;-0,0164;-0,819999999999999;
0,048;-0,0249999999999999;1,225;-0,0178;-0,890000000000001;
0,05;-0,0150000000000001;1,275;-0,0168;-0,840000000000001;
0,052;-0,02;1,325;-0,0182;-0,909999999999999;
0,054;-0,02;1,375;-0,0164;-0,82;
0,056;-0,00499999999999989;1,425;-0,0186;-0,930000000000001;
0,058;-0,0150000000000001;1,475;-0,0348;-1,74;
0,06;-0,0150000000000001;1,525;-0,0860000000000001;-4,30000000000001;
0,062;-0,02;1,575;-0,1764;-8,82;
0,064;-0,02;1,625;-0,3016;-15,08;
0,066;-0,02;1,675;-0,4368;-21,84;
0,068;-0,0249999999999999;1,725;-0,571;-28,55;
0,07;-0,0150000000000001;1,775;-0,691;-34,55;
0,072;-0,02;1,825;-0,7898;-39,49;
0,074;-0,0150000000000001;1,875;-0,8678;-43,39;
0,076;-0,0150000000000001;1,925;-0,933;-46,65;
0,078;-0,0150000000000001;1,975;-0,9932;-49,66;
0,08;-0,0150000000000001;2,025;-1,06;-53;
0,082;-0,02;2,075;-1,126;-56,3;
0,084;-0,0150000000000001;2,125;-1,1866;-59,33;
0,086;-0,0249999999999999;2,175;-1,2246;-61,23;
0,088;-0,02;2,225;-1,2314;-61,57;
0,09;-0,0150000000000001;2,275;-1,2128;-60,64;
0,092;-0,02;2,325;-1,1998;-59,99;
0,094;-0,0150000000000001;2,375;-1,1952;-59,76;
0,096;-0,0150000000000001;2,425;-1,207;-60,35;
0,098;-0,00999999999999979;2,475;-1,222;-61,1;
0,1;-0,02;2,525;-1,2276;-61,38;
0,102;-0,02;2,575;-1,2208;-61,04;
0,104;-0,0150000000000001;2,625;-1,22;-61;
0,106;-0,0249999999999999;2,675;-1,22;-61;
0,108;-0,02;2,725;-1,2218;-61,09;
0,11;-0,02;2,775;-1,2214;-61,07;
0,112;-0,0150000000000001;2,825;-1,2224;-61,12;
0,114;-0,00999999999999979;2,875;-1,222;-61,1;
0,116;-0,00999999999999979;2,925;-1,2222;-61,11;
0,118;-0,00999999999999979;2,975;-1,2212;-61,06;
0,12;-0,02;3,025;-1,2214;-61,07;
0,122;-0,0150000000000001;3,075;-1,221;-61,05;
0,124;-0,02;3,125;-1,2232;-61,16;
0,126;-0,0249999999999999;3,175;-1,2224;-61,12;
0,128;-0,0150000000000001;3,225;-1,2236;-61,18;
0,13;-0,02;3,275;-1,2224;-61,12;
0,132;-0,0150000000000001;3,325;-1,2234;-61,17;
0,134;-0,02;3,375;-1,222;-61,1;
0,136;-0,00999999999999979;3,425;-1,2132;-60,66;
0,138;-0,00999999999999979;3,475;-1,1796;-58,98;
0,14;-0,02;3,525;-1,1202;-56,01;
0,142;-0,0150000000000001;3,575;-1,0332;-51,66;
0,144;-0,02;3,625;-0,9264;-46,32;
0,146;-0,02;3,675;-0,7994;-39,97;
0,148;-0,0249999999999999;3,725;-0,6598;-32,99;
0,15;-0,02;3,775;-0,508;-25,4;
0,152;-0,0150000000000001;3,825;-0,355;-17,75;
0,154;-0,02;3,875;-0,198;-9,9;
0,156;-0,00999999999999979;3,925;-0,046;-2,3;
0,158;-0,0150000000000001;3,975;0,1006;5,03;
0,16;-0,0150000000000001;4,025;0,2362;11,81;
0,162;-0,00999999999999979;4,075;0,361;18,05;
0,164;-0,02;4,125;0,4704;23,52;
0,166;-0,02;4,175;0,5638;28,19;
0,168;-0,0249999999999999;4,225;0,639;31,95;
0,17;-0,02;4,275;0,6978;34,89;
0,172;-0,02;4,325;0,735;36,75;
0,174;-0,02;4,375;0,7558;37,79;
0,176;-0,00999999999999979;4,425;0,7576;37,88;
0,178;-0,0150000000000001;4,475;0,7444;37,22;
0,18;-0,0150000000000001;4,525;0,709;35,45;
0,182;-0,02;4,575;0,6626;33,13;
0,184;-0,02;4,625;0,6002;30,01;
0,186;-0,0150000000000001;4,675;0,529;26,45;
0,188;-0,0249999999999999;4,725;0,4476;22,38;
0,19;-0,0150000000000001;4,775;0,3602;18,01;
0,192;-0,02;4,825;0,2646;13,23;
0,194;-0,0150000000000001;4,875;0,1692;8,46000000000001;
0,196;-0,0150000000000001;4,925;0,0710000000000001;3,55;
0,198;-0,0150000000000001;4,975;-0,0218;-1,09;
0,2;-0,00999999999999979;5,025;-0,1126;-5,63;
0,202;-0,02;5,075;-0,196;-9,8;
0,204;-0,0150000000000001;5,125;-0,2726;-13,63;
0,206;-0,0249999999999999;5,175;-0,3394;-16,97;
0,208;-0,02;5,225;-0,3974;-19,87;
0,21;-0,00999999999999979;5,275;-0,439;-21,95;
0,212;-0,0150000000000001;5,325;-0,4734;-23,67;
0,214;-0,0150000000000001;5,375;-0,4928;-24,64;
0,216;-0,0150000000000001;5,425;-0,5016;-25,08;
0,218;-0,00999999999999979;5,475;-0,4994;-24,97;
0,22;-0,02;5,525;-0,4842;-24,21;
0,222;-0,02;5,575;-0,4564;-22,82;
0,224;-0,0150000000000001;5,625;-0,4224;-21,12;
0,226;-0,0249999999999999;5,675;-0,378;-18,9;
0,228;-0,02;5,725;-0,3276;-16,38;
0,23;-0,02;5,775;-0,2714;-13,57;
0,232;-0,02;5,825;-0,2122;-10,61;
