Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,00999999999999979;0,025;-0,0162;-0,810000000000002;
0,002;-0,0150000000000001;0,075;-0,0156;-0,78;
0,004;-0,02;0,125;-0,0164;-0,820000000000001;
0,006;-0,0249999999999999;0,175;-0,0156;-0,780000000000002;
0,008;-0,0150000000000001;0,225;-0,0156;-0,779999999999998;
0,01;-0,00999999999999979;0,275;-0,0158;-0,789999999999999;
0,012;-0,0150000000000001;0,325;-0,0162;-0,810000000000001;
0,014;-0,00499999999999989;0,375;-0,016;-0,8;
0,016;-0,0150000000000001;0,425;-0,017;-0,85;
0,018;-0,0150000000000001;0,475;-0,0152;-0,76;
0,02;-0,02;0,525;-0,0164;-0,819999999999999;
0,022;-0,0150000000000001;0,575;-0,014;-0,700000000000001;
0,024;-0,02;0,625;-0,0168;-0,840000000000001;
0,026;-0,02;0,675;-0,0152;-0,759999999999999;
0,028;-0,0150000000000001;0,725;-0,0168;-0,840000000000001;
0,03;-0,02;0,775;-0,0154;-0,770000000000001;
0,032;-0,0150000000000001;0,825;-0,0164;-0,82;
0,034;-0,00499999999999989;0,875;-0,0156;-0,78;
0,036;-0,0150000000000001;0,925;-0,0162;-0,81;
0,038;-0,0150000000000001;0,975;-0,0154;-0,769999999999999;
0,04;-0,02;1,025;-0,0174;-0,869999999999999;
0,042;-0,0150000000000001;1,075;-0,00779999999999998;-0,389999999999999;
0,044;-0,0300000000000002;1,125;0,00459999999999992;0,229999999999996;
0,046;-0,02;1,175;0,00839999999999989;0,419999999999995;
0,048;-0,0150000000000001;1,225;0,00279999999999996;0,139999999999998;
0,05;-0,02;1,275;-0,00119999999999997;-0,0599999999999987;
0,052;-0,0150000000000001;1,325;-0,00699999999999989;-0,349999999999994;
0,054;-0,0150000000000001;1,375;-0,0134;-0,669999999999998;
0,056;-0,00999999999999979;1,425;-0,0416;-2,08;
0,058;-0,00999999999999979;1,475;-0,1034;-5,17;
0,06;-0,0150000000000001;1,525;-0,2138;-10,69;
0,062;-0,0150000000000001;1,575;-0,356;-17,8;
0,064;-0,0249999999999999;1,625;-0,5102;-25,51;
0,066;-0,0150000000000001;1,675;-0,6556;-32,78;
0,068;-0,0150000000000001;1,725;-0,7788;-38,94;
0,07;-0,0150000000000001;1,775;-0,8726;-43,63;
0,072;-0,0150000000000001;1,825;-0,952;-47,6;
0,074;-0,0150000000000001;1,875;-1,0218;-51,09;
0,076;-0,00999999999999979;1,925;-1,0906;-54,53;
0,078;-0,02;1,975;-1,1574;-57,87;
0,08;-0,02;2,025;-1,1966;-59,83;
0,082;-0,0150000000000001;2,075;-1,2014;-60,07;
0,084;-0,0249999999999999;2,125;-1,2028;-60,14;
0,086;-0,0150000000000001;2,175;-1,2014;-60,07;
0,088;-0,02;2,225;-1,2022;-60,11;
0,09;-0,0150000000000001;2,275;-1,2088;-60,44;
0,092;-0,00999999999999979;2,325;-1,2186;-60,93;
0,094;-0,00999999999999979;2,375;-1,221;-61,05;
0,096;-0,00999999999999979;2,425;-1,222;-61,1;
0,098;-0,02;2,475;-1,2212;-61,06;
0,1;-0,0150000000000001;2,525;-1,2212;-61,06;
0,102;-0,02;2,575;-1,2214;-61,07;
0,104;-0,0249999999999999;2,625;-1,2242;-61,21;
0,106;-0,0150000000000001;2,675;-1,2242;-61,21;
0,108;-0,02;2,725;-1,2248;-61,24;
0,11;-0,0150000000000001;2,775;-1,2234;-61,17;
0,112;-0,02;2,825;-1,224;-61,2;
0,114;-0,00999999999999979;2,875;-1,224;-61,2;
0,116;-0,00999999999999979;2,925;-1,2234;-61,17;
0,118;-0,02;2,975;-1,2078;-60,39;
0,12;-0,0150000000000001;3,025;-1,1658;-58,29;
0,122;-0,02;3,075;-1,1014;-55,07;
0,124;-0,02;3,125;-1,0238;-51,19;
0,126;-0,02;3,175;-0,932;-46,6;
0,128;-0,0150000000000001;3,225;-0,8352;-41,76;
0,13;-0,00999999999999979;3,275;-0,7354;-36,77;
0,132;-0,02;3,325;-0,6358;-31,79;
0,134;-0,00499999999999989;3,375;-0,5368;-26,84;
0,136;-0,0150000000000001;3,425;-0,4426;-22,13;
0,138;-0,0150000000000001;3,475;-0,3548;-17,74;
0,14;-0,0150000000000001;3,525;-0,2724;-13,62;
0,142;-0,0150000000000001;3,575;-0,1958;-9,78999999999999;
0,144;-0,02;3,625;-0,128;-6,40000000000001;
0,146;-0,02;3,675;-0,0702000000000001;-3,51;
0,148;-0,0150000000000001;3,725;-0,0222;-1,11;
0,15;-0,02;3,775;0,0206;1,03;
0,152;-0,0150000000000001;3,825;0,0528;2,64;
0,154;-0,00499999999999989;3,875;0,0784000000000001;3,92;
0,156;-0,0150000000000001;3,925;0,0972000000000001;4,86;
0,158;-0,0150000000000001;3,975;0,1122;5,61000000000001;
0,16;-0,02;4,025;0,1196;5,98000000000001;
0,162;-0,0150000000000001;4,075;0,1256;6,28;
