Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0,216;-0,0249999999999999;5,425;0,0436;2,18;
0,218;-0,02;5,475;0,0432;2,16;
0,22;-0,0249999999999999;5,525;0,0434;2,17;
0,222;-0,0150000000000001;5,575;0,0394;1,97;
0,224;-0,02;5,625;0,0356000000000001;1,78000000000001;
0,226;-0,00999999999999979;5,675;0,0302000000000002;1,51000000000001;
0,228;-0,00999999999999979;5,725;0,0250000000000001;1,25;
0,23;-0,0150000000000001;5,775;0,0184;0,920000000000002;
0,232;-0,0150000000000001;5,825;0,0132;0,659999999999997;
0,234;-0,02;5,875;0,00579999999999995;0,289999999999997;
0,236;-0,0249999999999999;5,925;0,00239999999999997;0,119999999999998;
0,238;-0,0150000000000001;5,975;-0,00579999999999989;-0,289999999999995;
0,24;-0,02;6,025;-0,00939999999999989;-0,469999999999994;
0,242;-0,0150000000000001;6,075;-0,0154;-0,77;
0,244;-0,02;6,125;-0,0196;-0,980000000000001;
0,246;-0,00999999999999979;6,175;-0,024;-1,2;
0,248;-0,0150000000000001;6,225;-0,0266;-1,33;
0,25;-0,0150000000000001;6,275;-0,0304000000000001;-1,52;
0,252;-0,0150000000000001;6,325;-0,0322000000000001;-1,61000000000001;
0,254;-0,02;6,375;-0,0340000000000001;-1,70000000000001;
0,256;-0,02;6,425;-0,0338000000000001;-1,69000000000001;
0,258;-0,0249999999999999;6,475;-0,0346000000000001;-1,73000000000001;
0,26;-0,02;6,525;-0,0328000000000002;-1,64000000000001;
0,262;-0,0150000000000001;6,575;-0,0344000000000001;-1,72000000000001;
0,264;-0,02;6,625;-0,0332000000000001;-1,66000000000001;
0,266;-0,00999999999999979;6,675;-0,0346000000000001;-1,73;
0,268;-0,0150000000000001;6,725;-0,0340000000000001;-1,70000000000001;
0,27;-0,0150000000000001;6,775;-0,0332000000000001;-1,66000000000001;
0,272;-0,0150000000000001;6,825;-0,0300000000000001;-1,5;
0,274;-0,02;6,875;-0,0292000000000001;-1,46000000000001;
0,276;-0,02;6,925;-0,0262000000000001;-1,31;
0,278;-0,0249999999999999;6,975;-0,0258;-1,29;
0,28;-0,02;7,025;-0,0222;-1,11;
0,282;-0,02;7,075;-0,0218;-1,09;
0,284;-0,0150000000000001;7,125;-0,0202;-1,01;
0,286;-0,00499999999999989;7,175;-0,0196;-0,980000000000001;
0,288;-0,0150000000000001;7,225;-0,016;-0,800000000000002;
0,29;-0,00999999999999979;7,275;-0,0162;-0,809999999999999;
0,292;-0,02;7,325;-0,0152;-0,76;
0,294;-0,02;7,375;-0,015;-0,749999999999999;
0,296;-0,0150000000000001;7,425;-0,014;-0,699999999999998;
0,298;-0,0249999999999999;7,475;-0,0138;-0,690000000000001;
0,3;-0,0150000000000001;7,525;-0,0126;-0,629999999999999;
0,302;-0,02;7,575;-0,0134;-0,669999999999998;
0,304;-0,0150000000000001;7,625;-0,0128;-0,639999999999998;
0,306;-0,0150000000000001;7,675;-0,0134;-0,669999999999999;
0,308;-0,0150000000000001;7,725;-0,0136;-0,679999999999998;
0,31;-0,00999999999999979;7,775;-0,0132;-0,659999999999999;
0,312;-0,02;7,825;-0,0128;-0,639999999999998;
0,314;-0,0150000000000001;7,875;-0,0136;-0,680000000000001;
0,316;-0,0300000000000002;7,925;-0,0122;-0,609999999999999;
0,318;-0,02;7,975;-0,014;-0,699999999999998;
0,32;-0,0150000000000001;8,025;-0,0128;-0,640000000000001;
0,322;-0,02;8,075;-0,014;-0,699999999999999;
0,324;-0,0150000000000001;8,125;-0,013;-0,649999999999999;
0,326;-0,0150000000000001;8,175;-0,0144;-0,72;
0,328;-0,00999999999999979;8,225;-0,0132;-0,659999999999998;
0,33;-0,02;8,275;-0,0152;-0,759999999999998;
0,332;-0,02;8,325;-0,0142;-0,71;
0,334;-0,0150000000000001;8,375;-0,0146;-0,730000000000001;
0,336;-0,0249999999999999;8,425;-0,014;-0,699999999999998;
0,338;-0,02;8,475;-0,0156;-0,78;
0,34;-0,0249999999999999;8,525;-0,0142;-0,71;
0,342;-0,0150000000000001;8,575;-0,0156;-0,779999999999998;
0,344;-0,00999999999999979;8,625;-0,0144;-0,72;
0,346;-0,0150000000000001;8,675;-0,015;-0,75;
0,348;-0,00999999999999979;8,725;-0,0154;-0,769999999999999;
0,35;-0,02;8,775;-0,0144;-0,72;
0,352;-0,02;8,825;-0,0144;-0,719999999999998;
0,354;-0,02;8,875;-0,0144;-0,720000000000001;
0,356;-0,0249999999999999;8,925;-0,0148;-0,74;
0,358;-0,02;8,975;-0,0156;-0,779999999999998;
0,36;-0,02;9,025;-0,014;-0,699999999999999;
0,362;-0,0150000000000001;9,075;-0,0152;-0,760000000000001;
0,364;-0,02;9,125;-0,0144;-0,719999999999998;
0,366;-0,00999999999999979;9,175;-0,0154;-0,77;
0,368;-0,00499999999999989;9,225;-0,0144;-0,720000000000002;
0,37;-0,02;9,275;-0,0158;-0,79;
0,372;-0,0150000000000001;9,325;-0,014;-0,7;
0,374;-0,0249999999999999;9,375;-0,0156;-0,780000000000002;
0,376;-0,0249999999999999;9,425;-0,0145999999999999;-0,729999999999997;
0,378;-0,0249999999999999;9,475;-0,015;-0,75;
0,38;-0,02;9,525;-0,0144;-0,720000000000002;
0,382;-0,00999999999999979;9,575;-0,0146;-0,729999999999999;
0,384;-0,0150000000000001;9,625;-0,0142;-0,709999999999999;
0,386;-0,00499999999999989;9,675;-0,0156;-0,780000000000001;
0,388;-0,0150000000000001;9,725;-0,0133999999999999;-0,669999999999997;
0,39;-0,0150000000000001;9,775;-0,0148;-0,740000000000001;
0,392;-0,00999999999999979;9,825;-0,0144;-0,719999999999999;
0,394;-0,02;9,875;-0,0158;-0,790000000000001;
0,396;-0,02;9,925;-0,0138;-0,69;
0,398;-0,0249999999999999;9,975;-0,0154;-0,77;
0,4;-0,02;10,025;-0,0148;-0,739999999999999;
0,402;-0,02;10,075;-0,0146;-0,73;
0,404;-0,02;10,125;-0,014;-0,699999999999998;
0,406;-0,00499999999999989;10,175;-0,0152;-0,76;
0,408;-0,0150000000000001;10,225;-0,0138;-0,69;
0,41;-0,0150000000000001;10,275;-0,0146;-0,729999999999998;
0,412;-0,02;10,325;-0,014;-0,7;
0,414;-0,0150000000000001;10,375;-0,015;-0,750000000000001;
0,416;-0,0150000000000001;10,425;-0,0144;-0,72;
0,418;-0,0249999999999999;10,475;-0,0144;-0,72;
0,42;-0,0150000000000001;10,525;-0,0148;-0,739999999999999;
0,422;-0,02;10,575;-0,0146;-0,729999999999998;
0,424;-0,0150000000000001;10,625;-0,0148;-0,740000000000001;
0,426;-0,0150000000000001;10,675;-0,0152;-0,760000000000002;
0,428;-0,0150000000000001;10,725;-0,0144;-0,719999999999998;
0,43;-0,00999999999999979;10,775;-0,015;-0,75;
0,432;-0,02;10,825;-0,0136;-0,679999999999999;
0,434;-0,0150000000000001;10,875;-0,0156;-0,779999999999998;
