Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,0150000000000001;0,025;-0,0138;-0,69;
0,002;-0,00999999999999979;0,075;-0,0152;-0,759999999999999;
0,004;-0,00999999999999979;0,125;-0,0144;-0,719999999999999;
0,006;-0,00999999999999979;0,175;-0,016;-0,8;
0,008;-0,0150000000000001;0,225;-0,0306;-1,53;
0,01;-0,0150000000000001;0,275;-0,0680000000000001;-3,4;
0,012;-0,00499999999999989;0,325;-0,1168;-5,84;
0,014;-0,02;0,375;-0,1888;-9,44;
0,016;-0,0150000000000001;0,425;-0,2798;-13,99;
0,018;-0,02;0,475;-0,393;-19,65;
0,02;-0,00999999999999979;0,525;-0,5182;-25,91;
0,022;-0,02;0,575;-0,641;-32,05;
0,024;-0,00999999999999979;0,625;-0,7436;-37,18;
0,026;-0,00499999999999989;0,675;-0,832;-41,6;
0,028;-0,0150000000000001;0,725;-0,9142;-45,71;
0,03;-0,0150000000000001;0,775;-1,0028;-50,14;
0,032;-0,02;0,825;-1,0898;-54,49;
0,034;-0,02;0,875;-1,1666;-58,33;
0,036;-0,00999999999999979;0,925;-1,205;-60,25;
0,038;-0,0150000000000001;0,975;-1,1932;-59,66;
0,04;-0,0150000000000001;1,025;-1,1724;-58,62;
0,042;-0,0150000000000001;1,075;-1,1718;-58,59;
0,044;-0,00999999999999979;1,125;-1,1836;-59,18;
0,046;-0,0150000000000001;1,175;-1,1892;-59,46;
0,048;-0,0150000000000001;1,225;-1,1914;-59,57;
0,05;-0,00999999999999979;1,275;-1,2004;-60,02;
0,052;-0,02;1,325;-1,2112;-60,56;
0,054;-0,02;1,375;-1,2212;-61,06;
0,056;-0,0249999999999999;1,425;-1,2276;-61,38;
0,058;-0,0150000000000001;1,475;-1,2296;-61,48;
0,06;-0,00999999999999979;1,525;-1,2286;-61,43;
0,062;-0,0150000000000001;1,575;-1,2286;-61,43;
0,064;-0,00499999999999989;1,625;-1,228;-61,4;
0,066;-0,00999999999999979;1,675;-1,2296;-61,48;
0,068;-0,0150000000000001;1,725;-1,2286;-61,43;
0,07;-0,02;1,775;-1,2188;-60,94;
0,072;-0,0150000000000001;1,825;-1,1912;-59,56;
0,074;-0,0150000000000001;1,875;-1,14;-57;
0,076;-0,02;1,925;-1,0642;-53,21;
0,078;-0,0150000000000001;1,975;-0,9672;-48,36;
0,08;-0,02;2,025;-0,8534;-42,67;
0,082;-0,0150000000000001;2,075;-0,729;-36,45;
0,084;-0,00499999999999989;2,125;-0,5932;-29,66;
0,086;-0,00999999999999979;2,175;-0,4552;-22,76;
