Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,0249999999999999;0,025;-0,018;-0,9;
0,002;-0,02;0,075;-0,0166;-0,830000000000001;
0,004;-0,0150000000000001;0,125;-0,017;-0,850000000000001;
0,006;-0,02;0,175;-0,0166;-0,830000000000001;
0,008;-0,0150000000000001;0,225;-0,018;-0,9;
0,01;-0,02;0,275;-0,0174;-0,870000000000002;
0,012;-0,00999999999999979;0,325;-0,0188;-0,94;
0,014;-0,0150000000000001;0,375;-0,0226;-1,13;
0,016;-0,02;0,425;-0,0260000000000001;-1,3;
0,018;-0,0150000000000001;0,475;-0,0286000000000001;-1,43000000000001;
0,02;-0,02;0,525;-0,0320000000000002;-1,60000000000001;
0,022;-0,02;0,575;-0,0330000000000001;-1,65000000000001;
0,024;-0,0249999999999999;0,625;-0,0360000000000001;-1,80000000000001;
0,026;-0,02;0,675;-0,0358000000000001;-1,79000000000001;
0,028;-0,00999999999999979;0,725;-0,0368000000000001;-1,84;
0,03;-0,02;0,775;-0,0354000000000001;-1,77000000000001;
0,032;-0,00999999999999979;0,825;-0,0378000000000001;-1,89;
0,034;-0,0150000000000001;0,875;-0,0364000000000001;-1,82;
0,036;-0,0150000000000001;0,925;-0,0368000000000001;-1,84000000000001;
0,038;-0,02;0,975;-0,0418;-2,09;
0,04;-0,02;1,025;-0,0796;-3,98;
0,042;-0,02;1,075;-0,144;-7,2;
0,044;-0,0249999999999999;1,125;-0,2286;-11,43;
0,046;-0,0150000000000001;1,175;-0,3172;-15,86;
0,048;-0,02;1,225;-0,4136;-20,68;
0,05;-0,0150000000000001;1,275;-0,5086;-25,43;
0,052;-0,00499999999999989;1,325;-0,6012;-30,06;
0,054;-0,0150000000000001;1,375;-0,6846;-34,23;
0,056;-0,0150000000000001;1,425;-0,7542;-37,71;
0,058;-0,02;1,475;-0,8032;-40,16;
0,06;-0,0150000000000001;1,525;-0,8332;-41,66;
0,062;-0,0249999999999999;1,575;-0,8488;-42,44;
0,064;-0,0249999999999999;1,625;-0,8626;-43,13;
0,066;-0,0150000000000001;1,675;-0,8804;-44,02;
0,068;-0,02;1,725;-0,9066;-45,33;
0,07;-0,0150000000000001;1,775;-0,941;-47,05;
0,072;-0,0150000000000001;1,825;-0,9796;-48,98;
0,074;-0,00999999999999979;1,875;-1,019;-50,95;
0,076;-0,00999999999999979;1,925;-1,0626;-53,13;
0,078;-0,02;1,975;-1,1008;-55,04;
0,08;-0,0150000000000001;2,025;-1,123;-56,15;
0,082;-0,0249999999999999;2,075;-1,1242;-56,21;
0,084;-0,02;2,125;-1,1182;-55,91;
0,086;-0,02;2,175;-1,1186;-55,93;
0,088;-0,02;2,225;-1,1446;-57,23;
0,09;-0,0150000000000001;2,275;-1,183;-59,15;
0,092;-0,0150000000000001;2,325;-1,2182;-60,91;
0,094;-0,00999999999999979;2,375;-1,2328;-61,64;
0,096;-0,02;2,425;-1,2314;-61,57;
0,098;-0,0150000000000001;2,475;-1,2204;-61,02;
0,1;-0,00999999999999979;2,525;-1,2166;-60,83;
0,102;-0,0249999999999999;2,575;-1,2156;-60,78;
0,104;-0,02;2,625;-1,2192;-60,96;
0,106;-0,02;2,675;-1,219;-60,95;
0,108;-0,0150000000000001;2,725;-1,2202;-61,01;
0,11;-0,02;2,775;-1,2186;-60,93;
0,112;-0,00999999999999979;2,825;-1,2186;-60,93;
0,114;-0,00999999999999979;2,875;-1,2178;-60,89;
0,116;-0,02;2,925;-1,2198;-60,99;
0,118;-0,0150000000000001;2,975;-1,2212;-61,06;
0,12;-0,02;3,025;-1,2226;-61,13;
0,122;-0,0249999999999999;3,075;-1,2226;-61,13;
0,124;-0,0150000000000001;3,125;-1,2246;-61,23;
0,126;-0,02;3,175;-1,2258;-61,29;
0,128;-0,0150000000000001;3,225;-1,2288;-61,44;
0,13;-0,0150000000000001;3,275;-1,2294;-61,47;
0,132;-0,00999999999999979;3,325;-1,2296;-61,48;
0,134;-0,0150000000000001;3,375;-1,2106;-60,53;
0,136;-0,0150000000000001;3,425;-1,1628;-58,14;
0,138;-0,0150000000000001;3,475;-1,0852;-54,26;
0,14;-0,02;3,525;-0,984;-49,2;
0,142;-0,02;3,575;-0,8582;-42,91;
0,144;-0,0300000000000002;3,625;-0,7156;-35,78;
0,146;-0,0150000000000001;3,675;-0,5564;-27,82;
0,148;-0,00999999999999979;3,725;-0,3906;-19,53;
0,15;-0,02;3,775;-0,218;-10,9;
0,152;-0,00499999999999989;3,825;-0,0476;-2,38;
0,154;-0,0150000000000001;3,875;0,1202;6,01000000000001;
0,156;-0,0150000000000001;3,925;0,2802;14,01;
0,158;-0,02;3,975;0,428;21,4;
0,16;-0,02;4,025;0,5602;28,01;
0,162;-0,02;4,075;0,6784;33,92;
