Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,02;0,025;-0,0182;-0,910000000000002;
0,002;-0,0150000000000001;0,075;-0,0186;-0,930000000000002;
0,004;-0,02;0,125;-0,0182;-0,909999999999998;
0,006;-0,0150000000000001;0,175;-0,019;-0,950000000000002;
0,008;-0,02;0,225;-0,0184;-0,92;
0,01;-0,02;0,275;-0,0188;-0,940000000000002;
0,012;-0,0150000000000001;0,325;-0,018;-0,900000000000001;
0,014;-0,02;0,375;-0,0192;-0,960000000000001;
0,016;-0,02;0,425;-0,0180000000000001;-0,900000000000003;
0,018;-0,0249999999999999;0,475;-0,0202;-1,01;
0,02;-0,0150000000000001;0,525;-0,0184;-0,920000000000001;
0,022;-0,02;0,575;-0,0194;-0,970000000000002;
0,024;-0,02;0,625;-0,0182;-0,909999999999999;
0,026;-0,00499999999999989;0,675;-0,0188;-0,940000000000001;
0,028;-0,02;0,725;-0,0168;-0,839999999999999;
0,03;-0,02;0,775;-0,0214;-1,07;
0,032;-0,0249999999999999;0,825;-0,047;-2,35;
0,034;-0,02;0,875;-0,1008;-5,04;
0,036;-0,0150000000000001;0,925;-0,1818;-9,09;
0,038;-0,0249999999999999;0,975;-0,282;-14,1;
0,04;-0,0150000000000001;1,025;-0,3888;-19,44;
0,042;-0,02;1,075;-0,503;-25,15;
0,044;-0,0150000000000001;1,125;-0,6136;-30,68;
0,046;-0,0150000000000001;1,175;-0,7176;-35,88;
0,048;-0,0150000000000001;1,225;-0,8002;-40,01;
0,05;-0,0150000000000001;1,275;-0,867;-43,35;
0,052;-0,02;1,325;-0,9196;-45,98;
0,054;-0,0150000000000001;1,375;-0,9728;-48,64;
0,056;-0,0300000000000002;1,425;-1,0246;-51,23;
0,058;-0,02;1,475;-1,079;-53,95;
0,06;-0,0249999999999999;1,525;-1,1314;-56,57;
0,062;-0,02;1,575;-1,1792;-58,96;
0,064;-0,0150000000000001;1,625;-1,1986;-59,93;
0,066;-0,0150000000000001;1,675;-1,185;-59,25;
0,068;-0,0150000000000001;1,725;-1,1692;-58,46;
0,07;-0,02;1,775;-1,1764;-58,82;
0,072;-0,02;1,825;-1,1916;-59,58;
0,074;-0,0150000000000001;1,875;-1,198;-59,9;
0,076;-0,0300000000000002;1,925;-1,1962;-59,81;
0,078;-0,02;1,975;-1,2022;-60,11;
0,08;-0,02;2,025;-1,2112;-60,56;
0,082;-0,0150000000000001;2,075;-1,218;-60,9;
0,084;-0,00999999999999979;2,125;-1,2234;-61,17;
0,086;-0,0150000000000001;2,175;-1,2258;-61,29;
0,088;-0,00999999999999979;2,225;-1,226;-61,3;
0,09;-0,02;2,275;-1,2282;-61,41;
0,092;-0,0150000000000001;2,325;-1,2276;-61,38;
0,094;-0,0249999999999999;2,375;-1,2282;-61,41;
0,096;-0,0249999999999999;2,425;-1,2274;-61,37;
0,098;-0,0150000000000001;2,475;-1,2286;-61,43;
0,1;-0,02;2,525;-1,2272;-61,36;
0,102;-0,0150000000000001;2,575;-1,228;-61,4;
0,104;-0,0249999999999999;2,625;-1,2246;-61,23;
0,106;-0,00999999999999979;2,675;-1,2066;-60,33;
0,108;-0,00499999999999989;2,725;-1,1606;-58,03;
0,11;-0,02;2,775;-1,09;-54,5;
0,112;-0,0150000000000001;2,825;-0,994;-49,7;
0,114;-0,0249999999999999;2,875;-0,881;-44,05;
0,116;-0,0249999999999999;2,925;-0,7508;-37,54;
0,118;-0,0249999999999999;2,975;-0,6106;-30,53;
0,12;-0,02;3,025;-0,4636;-23,18;
0,122;-0,0150000000000001;3,075;-0,3172;-15,86;
0,124;-0,02;3,125;-0,169;-8,45;
0,126;-0,00999999999999979;3,175;-0,0284000000000001;-1,42;
0,128;-0,02;3,225;0,1056;5,28000000000001;
0,13;-0,02;3,275;0,2276;11,38;
0,132;-0,00999999999999979;3,325;0,3364;16,82;
0,134;-0,02;3,375;0,4312;21,56;
0,136;-0,02;3,425;0,5112;25,56;
0,138;-0,0249999999999999;3,475;0,5722;28,61;
0,14;-0,02;3,525;0,6186;30,93;
0,142;-0,02;3,575;0,6462;32,31;
0,144;-0,02;3,625;0,6606;33,03;
0,146;-0,00999999999999979;3,675;0,6584;32,92;
0,148;-0,02;3,725;0,641;32,05;
0,15;-0,02;3,775;0,6068;30,34;
0,152;-0,0249999999999999;3,825;0,5634;28,17;
0,154;-0,0150000000000001;3,875;0,5094;25,47;
0,156;-0,02;3,925;0,4464;22,32;
0,158;-0,0249999999999999;3,975;0,375;18,75;
0,16;-0,0150000000000001;4,025;0,2996;14,98;
0,162;-0,02;4,075;0,2204;11,02;
0,164;-0,02;4,125;0,141;7,05000000000001;
0,166;-0,0150000000000001;4,175;0,0604;3,02;
0,168;-0,0150000000000001;4,225;-0,014;-0,7;
0,17;-0,0150000000000001;4,275;-0,0858000000000001;-4,29;
0,172;-0,02;4,325;-0,151;-7,55;
0,174;-0,02;4,375;-0,2122;-10,61;
0,176;-0,0249999999999999;4,425;-0,2622;-13,11;
0,178;-0,02;4,475;-0,306;-15,3;
0,18;-0,00999999999999979;4,525;-0,3386;-16,93;
0,182;-0,02;4,575;-0,3632;-18,16;
0,184;-0,0150000000000001;4,625;-0,3776;-18,88;
0,186;-0,0150000000000001;4,675;-0,3836;-19,18;
0,188;-0,0150000000000001;4,725;-0,3814;-19,07;
0,19;-0,0249999999999999;4,775;-0,3702;-18,51;
0,192;-0,02;4,825;-0,349;-17,45;
0,194;-0,0150000000000001;4,875;-0,3228;-16,14;
0,196;-0,0300000000000002;4,925;-0,2896;-14,48;
0,198;-0,02;4,975;-0,2538;-12,69;
0,2;-0,02;5,025;-0,2124;-10,62;
0,202;-0,02;5,075;-0,17;-8,5;
0,204;-0,0150000000000001;5,125;-0,1244;-6,22000000000001;
0,206;-0,00999999999999979;5,175;-0,0836000000000001;-4,18;
0,208;-0,0150000000000001;5,225;-0,0404;-2,02;
0,21;-0,02;5,275;-0,00100000000000001;-0,0500000000000007;
0,212;-0,02;5,325;0,0372;1,86;
0,214;-0,0249999999999999;5,375;0,0698000000000001;3,49000000000001;
0,216;-0,0249999999999999;5,425;0,1002;5,01;
0,218;-0,02;5,475;0,1254;6,27;
0,22;-0,02;5,525;0,1464;7,32000000000001;
0,222;-0,0150000000000001;5,575;0,1614;8,07;
0,224;-0,02;5,625;0,1732;8,66000000000001;
0,226;-0,0150000000000001;5,675;0,1776;8,88000000000001;
0,228;-0,00999999999999979;5,725;0,1802;9,01000000000001;
0,23;-0,02;5,775;0,1788;8,94000000000001;
0,232;-0,0150000000000001;5,825;0,1726;8,63;
0,234;-0,02;5,875;0,1594;7,97000000000001;
0,236;-0,0249999999999999;5,925;0,1452;7,26000000000001;
0,238;-0,0249999999999999;5,975;0,1262;6,31;
0,24;-0,02;6,025;0,1086;5,43000000000001;
0,242;-0,0150000000000001;6,075;0,0848;4,24;
0,244;-0,02;6,125;0,0644000000000001;3,22;
0,246;-0,00999999999999979;6,175;0,0406;2,03;
0,248;-0,02;6,225;0,019;0,950000000000001;
0,25;-0,02;6,275;-0,00379999999999995;-0,189999999999998;
0,252;-0,0150000000000001;6,325;-0,0242000000000001;-1,21;
0,254;-0,02;6,375;-0,044;-2,2;
0,256;-0,02;6,425;-0,0610000000000001;-3,05;
0,258;-0,0249999999999999;6,475;-0,0772000000000001;-3,86000000000001;
0,26;-0,0150000000000001;6,525;-0,0888;-4,44;
0,262;-0,0249999999999999;6,575;-0,0994000000000001;-4,97;
0,264;-0,02;6,625;-0,1062;-5,31000000000001;
0,266;-0,00999999999999979;6,675;-0,1126;-5,63000000000001;
0,268;-0,02;6,725;-0,1138;-5,69000000000001;
0,27;-0,0150000000000001;6,775;-0,1158;-5,79000000000001;
0,272;-0,02;6,825;-0,1138;-5,69000000000001;
0,274;-0,02;6,875;-0,112;-5,60000000000001;
0,276;-0,02;6,925;-0,105;-5,25;
0,278;-0,02;6,975;-0,0976000000000001;-4,88;
0,28;-0,0150000000000001;7,025;-0,0892;-4,46;
0,282;-0,02;7,075;-0,0800000000000001;-4;
0,284;-0,0150000000000001;7,125;-0,0692000000000001;-3,46000000000001;
0,286;-0,0150000000000001;7,175;-0,0582;-2,91;
0,288;-0,02;7,225;-0,0464;-2,32;
0,29;-0,0150000000000001;7,275;-0,0354000000000001;-1,77;
0,292;-0,02;7,325;-0,0232000000000001;-1,16;
0,294;-0,0150000000000001;7,375;-0,0142;-0,71;
0,296;-0,0300000000000002;7,425;-0,00319999999999995;-0,159999999999997;
0,298;-0,02;7,475;0,00419999999999993;0,209999999999996;
0,3;-0,00999999999999979;7,525;0,012;0,599999999999998;
0,302;-0,02;7,575;0,0184;0,919999999999999;
0,304;-0,0150000000000001;7,625;0,0238000000000001;1,19;
0,306;-0,0150000000000001;7,675;0,027;1,35;
0,308;-0,0150000000000001;7,725;0,0302000000000001;1,51000000000001;
0,31;-0,0249999999999999;7,775;0,0302000000000001;1,51000000000001;
0,312;-0,02;7,825;0,0326000000000001;1,63000000000001;
0,314;-0,0150000000000001;7,875;0,0312000000000001;1,56000000000001;
0,316;-0,0249999999999999;7,925;0,0304000000000001;1,52000000000001;
0,318;-0,02;7,975;0,0274000000000001;1,37;
0,32;-0,02;8,025;0,024;1,2;
0,322;-0,0150000000000001;8,075;0,0192;0,96;
0,324;-0,00999999999999979;8,125;0,0144;0,72;
0,326;-0,0150000000000001;8,175;0,00959999999999996;0,479999999999998;
0,328;-0,0150000000000001;8,225;0,00359999999999994;0,179999999999997;
0,33;-0,02;8,275;-0,00239999999999995;-0,119999999999997;
0,332;-0,02;8,325;-0,0063999999999999;-0,319999999999995;
0,334;-0,0249999999999999;8,375;-0,0125999999999999;-0,629999999999997;
0,336;-0,0249999999999999;8,425;-0,0162;-0,810000000000001;
0,338;-0,0150000000000001;8,475;-0,0216;-1,08;
0,34;-0,02;8,525;-0,0258000000000001;-1,29000000000001;
0,342;-0,0150000000000001;8,575;-0,0298000000000002;-1,49000000000001;
0,344;-0,02;8,625;-0,0314000000000001;-1,57;
0,346;-0,0150000000000001;8,675;-0,0358000000000001;-1,79000000000001;
0,348;-0,02;8,725;-0,0360000000000001;-1,80000000000001;
0,35;-0,02;8,775;-0,0384000000000001;-1,92;
0,352;-0,0150000000000001;8,825;-0,0370000000000001;-1,85000000000001;
0,354;-0,02;8,875;-0,0384000000000001;-1,92;
0,356;-0,0249999999999999;8,925;-0,0364000000000001;-1,82;
0,358;-0,0249999999999999;8,975;-0,0380000000000001;-1,9;
0,36;-0,0150000000000001;9,025;-0,0368000000000001;-1,84000000000001;
0,362;-0,0150000000000001;9,075;-0,0370000000000001;-1,85;
0,364;-0,02;9,125;-0,0340000000000001;-1,70000000000001;
0,366;-0,00999999999999979;9,175;-0,0328000000000001;-1,64000000000001;
0,368;-0,02;9,225;-0,0290000000000001;-1,45;
0,37;-0,02;9,275;-0,0272000000000001;-1,36;
0,372;-0,0249999999999999;9,325;-0,024;-1,2;
0,374;-0,02;9,375;-0,0228;-1,14;
0,376;-0,02;9,425;-0,0202;-1,01;
