Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,02;0,025;-0,0182;-0,91;
0,002;-0,02;0,075;-0,0188;-0,94;
0,004;-0,0150000000000001;0,125;-0,0178;-0,890000000000001;
0,006;-0,0150000000000001;0,175;-0,0188;-0,940000000000002;
0,008;-0,0150000000000001;0,225;-0,0174;-0,870000000000001;
0,01;-0,02;0,275;-0,0184;-0,920000000000002;
0,012;-0,02;0,325;-0,0176;-0,880000000000002;
0,014;-0,0150000000000001;0,375;-0,019;-0,95;
0,016;-0,0249999999999999;0,425;-0,0182;-0,909999999999999;
0,018;-0,0249999999999999;0,475;-0,019;-0,950000000000002;
0,02;-0,0249999999999999;0,525;-0,0184;-0,919999999999998;
0,022;-0,02;0,575;-0,0188;-0,94;
0,024;-0,00999999999999979;0,625;-0,0174000000000001;-0,870000000000003;
0,026;-0,0150000000000001;0,675;-0,0184;-0,920000000000001;
0,028;-0,00999999999999979;0,725;-0,032;-1,6;
0,03;-0,02;0,775;-0,0880000000000001;-4,4;
0,032;-0,02;0,825;-0,2028;-10,14;
0,034;-0,0150000000000001;0,875;-0,367;-18,35;
0,036;-0,0249999999999999;0,925;-0,5482;-27,41;
0,038;-0,02;0,975;-0,7226;-36,13;
0,04;-0,02;1,025;-0,855;-42,75;
0,042;-0,02;1,075;-0,9332;-46,66;
0,044;-0,02;1,125;-0,9658;-48,29;
0,046;-0,0150000000000001;1,175;-0,979;-48,95;
0,048;-0,00999999999999979;1,225;-0,9996;-49,98;
0,05;-0,02;1,275;-1,0474;-52,37;
0,052;-0,02;1,325;-1,1096;-55,48;
0,054;-0,02;1,375;-1,1756;-58,78;
0,056;-0,0249999999999999;1,425;-1,213;-60,65;
0,058;-0,0150000000000001;1,475;-1,2184;-60,92;
0,06;-0,02;1,525;-1,2042;-60,21;
0,062;-0,0150000000000001;1,575;-1,199;-59,95;
0,064;-0,02;1,625;-1,2036;-60,18;
0,066;-0,0150000000000001;1,675;-1,2124;-60,62;
0,068;-0,00999999999999979;1,725;-1,213;-60,65;
0,07;-0,02;1,775;-1,2102;-60,51;
0,072;-0,0150000000000001;1,825;-1,209;-60,45;
0,074;-0,02;1,875;-1,2136;-60,68;
0,076;-0,0249999999999999;1,925;-1,2194;-60,97;
0,078;-0,0249999999999999;1,975;-1,2218;-61,09;
0,08;-0,02;2,025;-1,221;-61,05;
0,082;-0,0150000000000001;2,075;-1,222;-61,1;
0,084;-0,02;2,125;-1,222;-61,1;
0,086;-0,00999999999999979;2,175;-1,2272;-61,36;
0,088;-0,02;2,225;-1,2274;-61,37;
0,09;-0,02;2,275;-1,228;-61,4;
0,092;-0,0150000000000001;2,325;-1,2274;-61,37;
0,094;-0,02;2,375;-1,2284;-61,42;
0,096;-0,02;2,425;-1,229;-61,45;
0,098;-0,0249999999999999;2,475;-1,2332;-61,66;
0,1;-0,02;2,525;-1,2328;-61,64;
0,102;-0,00999999999999979;2,575;-1,2184;-60,92;
0,104;-0,02;2,625;-1,1752;-58,76;
0,106;-0,00999999999999979;2,675;-1,1148;-55,74;
0,108;-0,0150000000000001;2,725;-1,0334;-51,67;
0,11;-0,02;2,775;-0,9372;-46,86;
0,112;-0,02;2,825;-0,8304;-41,52;
0,114;-0,02;2,875;-0,7194;-35,97;
0,116;-0,02;2,925;-0,6028;-30,14;
0,118;-0,0249999999999999;2,975;-0,4886;-24,43;
0,12;-0,02;3,025;-0,378;-18,9;
0,122;-0,02;3,075;-0,2718;-13,59;
0,124;-0,02;3,125;-0,171;-8,55;
0,126;-0,00999999999999979;3,175;-0,0808000000000001;-4,04;
0,128;-0,0150000000000001;3,225;-0,000399999999999991;-0,0199999999999996;
0,13;-0,0150000000000001;3,275;0,0684;3,42;
0,132;-0,0249999999999999;3,325;0,1286;6,43000000000001;
0,134;-0,0150000000000001;3,375;0,1764;8,82000000000001;
0,136;-0,02;3,425;0,2154;10,77;
0,138;-0,0249999999999999;3,475;0,2412;12,06;
0,14;-0,0150000000000001;3,525;0,2618;13,09;
0,142;-0,02;3,575;0,2702;13,51;
0,144;-0,0150000000000001;3,625;0,2752;13,76;
0,146;-0,0150000000000001;3,675;0,274;13,7;
0,148;-0,0150000000000001;3,725;0,266;13,3;
0,15;-0,0150000000000001;3,775;0,251;12,55;
0,152;-0,02;3,825;0,2332;11,66;
0,154;-0,0150000000000001;3,875;0,2122;10,61;
0,156;-0,0300000000000002;3,925;0,1886;9,43000000000001;
0,158;-0,0249999999999999;3,975;0,1614;8,07000000000001;
0,16;-0,0150000000000001;4,025;0,1362;6,81;
0,162;-0,02;4,075;0,1078;5,39000000000001;
0,164;-0,0150000000000001;4,125;0,0826000000000001;4,13;
0,166;-0,0150000000000001;4,175;0,0578;2,89;
0,168;-0,0150000000000001;4,225;0,0356;1,78;
0,17;-0,0150000000000001;4,275;0,014;0,699999999999998;
0,172;-0,02;4,325;-0,00479999999999992;-0,239999999999996;
0,174;-0,0150000000000001;4,375;-0,0226;-1,13;
0,176;-0,0300000000000002;4,425;-0,0356000000000001;-1,78;
0,178;-0,0249999999999999;4,475;-0,0485999999999999;-2,43;
0,18;-0,0249999999999999;4,525;-0,0568000000000001;-2,84;
0,182;-0,02;4,575;-0,0666000000000001;-3,33000000000001;
0,184;-0,0150000000000001;4,625;-0,0702000000000002;-3,51000000000001;
0,186;-0,0150000000000001;4,675;-0,0754000000000001;-3,77000000000001;
0,188;-0,00999999999999979;4,725;-0,0764000000000001;-3,82000000000001;
0,19;-0,02;4,775;-0,0774000000000001;-3,87000000000001;
0,192;-0,02;4,825;-0,0758000000000002;-3,79000000000001;
0,194;-0,00999999999999979;4,875;-0,0768000000000001;-3,84000000000001;
0,196;-0,0249999999999999;4,925;-0,0722000000000002;-3,61000000000001;
0,198;-0,02;4,975;-0,0692000000000001;-3,46000000000001;
0,2;-0,02;5,025;-0,0632000000000001;-3,16;
0,202;-0,0150000000000001;5,075;-0,0596;-2,98;
0,204;-0,0150000000000001;5,125;-0,0532;-2,66;
0,206;-0,0150000000000001;5,175;-0,0497999999999999;-2,49;
0,208;-0,00999999999999979;5,225;-0,043;-2,15;
0,21;-0,02;5,275;-0,0386000000000001;-1,93;
0,212;-0,0150000000000001;5,325;-0,0340000000000001;-1,70000000000001;
0,214;-0,02;5,375;-0,0302000000000001;-1,51000000000001;
0,216;-0,0249999999999999;5,425;-0,0248;-1,24;
0,218;-0,02;5,475;-0,0228;-1,14;
0,22;-0,02;5,525;-0,0186;-0,930000000000001;
0,222;-0,0150000000000001;5,575;-0,0162;-0,810000000000001;
0,224;-0,02;5,625;-0,0136;-0,679999999999998;
0,226;-0,0150000000000001;5,675;-0,0123999999999999;-0,619999999999997;
